"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code","direction","position"
"EE922","3027","BLAIR C",NULL,"45.431472000","-75.608154000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE932","3027","BLAIR D",NULL,"45.431676000","-75.607867000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE942","3027","BLAIR E",NULL,"45.431806000","-75.607711000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE972","3027","BLAIR H",NULL,"45.431664000","-75.608298000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE982","3027","BLAIR I",NULL,"45.431319000","-75.608764000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE990","3027","BLAIR O-TRAIN WEST / OUEST",NULL,"45.430803000","-75.608684000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE995","3027","BLAIR O-TRAIN",NULL,"45.430798000","-75.608674000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF001","0549","KENDER / OGILVIE",NULL,"45.456029000","-75.599042000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF002","0550","OGILVIE / KENDER",NULL,"45.455830000","-75.598930000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF003","3653","OGILVIE / KENDER",NULL,"45.455930000","-75.599069000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF020","8776","OGILVIE / EASTVALE",NULL,"45.452330000","-75.596723000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF030","8908","OGILVIE / LASSITER",NULL,"45.451213000","-75.596511000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF050","7951","OGILVIE / LASSITER",NULL,"45.450028000","-75.595814000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF060","8782","OGILVIE / NASKAPI",NULL,"45.449568000","-75.595706000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF070","7950","OGILVIE / NASKAPI",NULL,"45.448779000","-75.594875000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF080","8700","OGILVIE / MONTRÉAL",NULL,"45.448031000","-75.594695000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF200","8654","WICK / COXFORD",NULL,"45.452924000","-75.611647000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF220","8827","SWANS / WREN",NULL,"45.453502000","-75.614259000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF230","8829","SWANS / WHIPPOORWILL",NULL,"45.453850000","-75.616184000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF250","8830","SWANS / BLAIR",NULL,"45.453193000","-75.618483000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF260","8639","BLAIR / MONTRÉAL",NULL,"45.446906000","-75.615449000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF265","1789","BLAIR / MONTRÉAL",NULL,"45.446932000","-75.615244000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF270","8842","BLAIR / NICOL",NULL,"45.448262000","-75.616220000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF280","8843","BLAIR / NICOL",NULL,"45.448414000","-75.616115000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF290","8833","BLAIR / DAVIDSON",NULL,"45.449799000","-75.617078000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF300","8846","BLAIR / DAVIDSON",NULL,"45.449887000","-75.616898000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF310","8848","BLAIR / SWANS",NULL,"45.452815000","-75.618437000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF315","1783","BLAIR / SWANS",NULL,"45.453746000","-75.619024000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF320","8180","BLAIR / BRIARCLIFF",NULL,"45.458571000","-75.621634000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF330","8865","BLAIR / MASSEY",NULL,"45.460216000","-75.622542000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF340","8886","MASSEY / REBECCA",NULL,"45.460971000","-75.616558000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF360","8181","DELONG / MASSEY",NULL,"45.460888000","-75.613964000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF370","8915","DELONG / COMBERMERE",NULL,"45.460047000","-75.613478000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF380","8919","DELONG / REBECCA",NULL,"45.458158000","-75.612408000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF390","8182","DELONG / KAYMAR",NULL,"45.456719000","-75.610245000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF400","8923","DELONG / ORIOLE",NULL,"45.454677000","-75.609113000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF410","8942","ROTHWELL / DELONG",NULL,"45.451983000","-75.608644000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF420","8943","ROTHWELL / WICK",NULL,"45.451094000","-75.607789000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF430","8189","LA VERENDRYE / OGILVIE",NULL,"45.452930000","-75.597429000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF440","8707","LA VÉRENDRYE / OGILVIE",NULL,"45.452996000","-75.597850000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF450","2562","LA VÉRENDRYE / GATINEAU VIEW",NULL,"45.452544000","-75.601041000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF460","2540","LA VÉRENDRYE / GATINEAU VIEW",NULL,"45.452549000","-75.601680000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF470","2542","LA VÉRENDRYE / DEERHURST",NULL,"45.453138000","-75.603333000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF480","2541","LA VÉRENDRYE / GATINEAU VIEW",NULL,"45.453226000","-75.604201000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF490","2543","LA VÉRENDRYE / THOMAS D'ARCY MCGEE SCHOOL",NULL,"45.454440000","-75.605256000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF500","8708","LA VÉRENDRYE / MELDRUM",NULL,"45.455623000","-75.605863000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EF510","8188","LA VÉRENDRYE / OAKDEAN",NULL,"45.456849000","-75.606100000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
