id,route_id,direction_id,stop_id,order
3092,47,0,AL660,17
3140,47,1,AL665,25
936,15,1,CA030,45
1072,17,0,CA030,38
846,15,0,CA040,6
1076,17,1,CA040,2
109,6,0,CA090,19
259,7,0,CA090,47
551,11,1,CA090,4
194,6,1,CA100,43
306,7,1,CA100,23
544,11,0,CA100,68
934,15,1,CA120,43
1010,16,1,CA120,24
1070,17,0,CA120,36
3896,57,1,CA120,53
4191,61,1,CA120,65
4798,75,1,CA120,5
849,15,0,CA155,9
964,16,0,CA155,25
1079,17,1,CA155,5
3838,57,0,CA155,59
4121,61,0,CA155,81
4788,75,0,CA155,57
475,10,1,CA300,29
962,16,0,CA300,23
3836,57,0,CA300,57
4119,61,0,CA300,79
4786,75,0,CA300,55
418,10,0,CA930,2
1012,16,1,CA930,26
3898,57,1,CA930,55
4193,61,1,CA930,67
4800,75,1,CA930,7
474,10,1,CA940,28
961,16,0,CA940,22
3835,57,0,CA940,56
4118,61,0,CA940,78
4785,75,0,CA940,54
848,15,0,CA950,8
1078,17,1,CA950,4
935,15,1,CA960,44
1071,17,0,CA960,37
476,10,1,CA970,30
963,16,0,CA970,24
3837,57,0,CA970,58
4120,61,0,CA970,80
4787,75,0,CA970,56
417,10,0,CA980,1
847,15,0,CA980,7
1011,16,1,CA980,25
1077,17,1,CA980,3
3897,57,1,CA980,54
4192,61,1,CA980,66
4799,75,1,CA980,6
10,1,0,CA990,10
17,1,1,CA995,4
724,12,1,CB003,53
1177,18,1,CB003,32
723,12,1,CB050,52
1176,18,1,CB050,31
197,6,1,CB150,46
309,7,1,CB150,26
623,12,0,CB150,3
759,14,0,CB150,26
853,15,0,CB150,13
1083,17,1,CB150,9
1116,18,0,CB150,3
3842,57,0,CB150,63
4125,61,0,CB150,85
4792,75,0,CB150,61
6780,114,0,CB150,53
40,5,0,CB160,4
106,6,0,CB160,16
256,7,0,CB160,44
547,11,0,CB160,71
548,11,1,CB160,1
813,14,1,CB160,27
931,15,1,CB160,40
1067,17,0,CB160,33
3893,57,1,CB160,50
4188,61,1,CB160,62
4795,75,1,CB160,2
6783,114,1,CB160,2
39,5,0,CB170,3
814,14,1,CB170,28
6784,114,1,CB170,3
88,5,1,CB175,25
758,14,0,CB175,25
6779,114,0,CB175,52
107,6,0,CB200,17
257,7,0,CB200,45
549,11,1,CB200,2
932,15,1,CB200,41
1008,16,1,CB200,22
